"","origin_airport","destination_airport","flights"
"200","CLT","DEN",1925
"201","CLT","LAX",1458
"202","CLT","PHX",2186
"203","CLT","IAH",3711
"204","CLT","LAS",1734
"205","CLT","DTW",2701
"206","CLT","SFO",1427
"207","CLT","SLC",212
"208","CLT","EWR",5953
"209","CLT","MCO",3277
"210","CLT","MSP",1816
